ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
765373.79,0.0,0.0,0.0,0.0,1.1009,0.0,0.255064,0.0,0.0,1.91215,0.330785,1.82587,2.0389,0.0,0.946368,2.4266,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0003224691919037
765373.819,0.0,0.0,0.0,0.0,1.0689,0.0,0.0,0.0,0.0,1.63641,0.18263,1.88589,1.039,0.716701,0.703121,1.67107,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0016584129892316
765373.877,0.0,0.0,0.0,0.0,1.56548,0.0,0.0,0.0,0.0,1.65613,0.2161,1.95689,1.66787,0.568494,0.585754,1.5724,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0043303005838873
765373.905,0.0,0.0,0.0,0.0,0.0,0.0,0.542174,3.02913,0.0,2.02487,0.49555,1.87563,2.56889,0.0,0.567293,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.005620177356865
765373.933,0.0,0.143327,0.0,0.0,1.44729,0.0,0.271126,0.0,0.0,1.82483,0.366818,0.0,1.86095,0.574943,0.478991,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0069100541244795
765373.99,0.0,0.0,0.0,0.0,1.56586,0.0,0.0,0.0,0.0,0.0,0.499141,0.0,2.81294,1.17699,0.0,0.651216,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0095358746947851
765374.105,0.0,0.0,0.0,0.0,0.927301,0.0,0.0,0.0,1.0409,1.55307,0.486415,0.917307,1.51433,0.942437,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0148335828597463
765374.133,0.0,0.0,0.0,0.0,0.985601,0.0,0.0,0.0,0.787706,1.20256,0.0383949,0.835998,1.70573,1.10968,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.016123459632724
765374.19,0.0,0.0,1.00215,0.0,0.0,0.0,0.0,0.0,0.929966,1.41861,0.0,0.0,2.52692,0.0,0.0,1.76384,0.0,0.522494,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0187492801976665
765374.219,0.0,0.0,1.60499,0.0,0.0,0.432113,0.0,0.0,0.812545,0.829811,0.0,0.0,1.58619,0.0,0.0,1.9525,0.0,0.25821,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0200852240003573
765374.277,1.69221,0.502051,3.29871,3.04497,1.00499,1.87886,0.0,0.0,0.0,1.99255,0.0,0.0,0.0,0.0,0.0,2.01134,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0227571115950131
765374.305,1.50577,0.374455,1.579,0.0,0.566691,0.54474,0.0,0.0,0.0,2.22405,0.0,0.0,0.68441,0.0,0.978778,2.97166,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0240469883679908
765374.419,1.18653,0.0301535,0.0,0.0,1.19537,1.18503,0.832455,0.0,0.0,0.857187,0.868415,0.81469,0.0,0.0,1.14216,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0292986295032387
765374.477,0.836772,0.0,0.0,0.0,1.14787,2.77583,0.0,0.0,0.0,0.652622,0.441254,0.91267,0.0,1.11905,0.524993,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0319705170978946
765374.505,0.723302,0.163647,0.0,0.0,1.3102,3.05328,0.0,0.0,0.0,2.35614,0.0,0.0,0.252056,0.799553,0.677866,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0332603938708722
765374.533,0.510327,0.0,1.37169,0.0,1.59938,4.09575,0.0,0.0,0.0,2.48936,0.0,0.0,0.360472,1.23236,0.829227,2.33041,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0345502706438496
765374.591,0.46588,0.0,1.43152,0.0,1.44499,4.07026,0.782198,0.0,0.0,0.185944,0.0,0.0,0.407441,1.11481,0.474681,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0372221582385055
765374.619,0.274461,0.0,1.16481,0.0,1.58644,4.25896,0.0,0.0,0.0,0.0,0.232593,0.0,2.08311,1.32168,0.666996,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.03851203500612
765374.733,0.0,0.0,0.171509,0.0,0.415573,0.0,0.0,0.0,0.0,0.0,0.461307,0.0,0.0,0.0,0.110441,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.043763676146731
765374.79,0.0,0.0,0.0,0.0,0.731103,0.0,0.0,0.0,0.0,0.0,0.295658,0.0,0.0,0.0,0.297478,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0463894967170366
765374.819,0.0,0.0,0.0,0.939501,0.951879,0.0,0.0,0.0,0.0,0.0,0.796152,0.924529,0.0,0.456423,0.229064,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0477254405143646
765374.877,0.0,0.0,0.0,1.2362,0.99964,0.0,0.614566,0.0,0.0,0.0,0.388563,1.39586,0.894415,0.598243,0.4941,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0503973281090202
765374.905,0.0,0.0,0.0,1.18396,1.29529,0.0,0.724313,0.0,0.0,0.0,0.717239,2.00787,0.567211,0.955502,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0516872048819979
765374.933,0.0,0.0,0.0,0.0,1.04309,0.0,0.224181,0.0,0.0,0.0,0.878778,1.92731,0.300602,0.635684,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0529770816496125
765375.076,0.276787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245434,0.0,0.120568,0.257694,0.0,0.0,0.0,1.88814,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0595646665875513
765375.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699561,0.0,0.0658102,0.826459,0.0,0.0,0.0,1.99845,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0609006103848793
765375.133,1.16278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704248,0.0,0.321799,0.0,0.0,0.0,0.0,1.57278,-2,-2,-2,-2,-2,0,0.04606702752513295,1.062190487157857
765375.165,0.222049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605841,0.0,0.0,0.327896,0.0,0.0,0.0,1.49211,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0636646320389616
765375.219,0.338707,0.0,0.0,0.401262,0.0,0.0,0.0,0.0,0.0,0.0,0.0578154,0.725071,0.498865,0.367878,0.101567,0.0,0.0,1.03606,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0661522515254902
765375.277,0.215203,0.0,0.0,1.68351,0.0,0.0,0.0,0.710156,0.0,0.0,0.221662,0.673737,0.0,0.710349,0.0251027,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.068824139120146
765375.39,0.739006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250737,0.0,0.0,0.430819,0.0,0.0,0.0,0.64774,-2,-2,-2,-2,-2,0,0.04606702752513295,1.074029713231044
765375.419,0.810523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108422,0.0,0.519154,0.0,0.0,0.0,0.0,0.946351,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0753656570283716
765375.477,0.735302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204942,0.0,0.0,0.0,0.0,0.0,0.0,1.23665,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0780375446230275
765375.505,0.484592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165051,0.0,0.861629,0.0,0.102156,0.0,0.0,0.880226,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0793274213960051
765375.533,0.441312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167557,0.0,0.109131,0.0,0.0988608,0.0,0.0,0.765996,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0806172981689826
765375.59,0.556837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.879987,0.0,0.0,0.0,0.0,1.26417,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0832431187339253
765375.705,0.611597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236777,0.0,0.0,0.324391,0.0,0.0,0.0,0.615156,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0885408268988865
765375.733,0.521427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301062,0.0,0.0,0.0,0.0,0.0,0.0,0.463005,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0898307036718642
765375.763,0.47941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728322,0.0,0.216828,0.0,0.0,0.0,0.0,0.0652965,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0912127144989052
765375.819,0.418654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576024,0.0,0.275917,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0937924680394975
765375.877,0.378161,0.320301,0.0,0.0,0.0,0.0,0.0,0.567705,0.0,0.0,0.626922,0.0,0.0,0.500589,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0964643556341533
765375.905,0.385589,0.271459,0.0,0.0,0.0,0.0,0.0,0.811302,0.0,0.0,0.308977,0.0,0.69957,0.303703,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.0977542324071308
765376.019,0.536838,0.0,0.0,0.0,0.0,0.466379,0.0,0.0,0.0,0.0,0.0181853,0.0,1.00193,0.0,0.0,0.0,0.0,0.509884,-2,-2,-2,-2,-2,0,0.04606702752513295,1.103005873542379
765376.077,0.313247,0.0,0.0,0.0,0.0,0.0,0.0,0.343355,0.0,0.0,0.0973593,0.0,0.0,0.308377,0.0,0.0,0.0,0.364846,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1056777611423976
765376.105,0.00475476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866139,0.132545,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1069676379100122
765376.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452928,0.0,0.0,0.121149,1.01227,0.258884,0.571456,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1082575146829898
765376.19,0.156662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420045,0.473988,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1108833352479324
765376.219,0.272301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613529,0.362804,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1122192790506231
765376.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196965,0.0,1.88665,0.0,0.409197,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1177473223534247
765376.363,0.530387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279676,0.0,1.33771,0.0,0.386997,0.0,0.0,0.69699,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1188529310129123
765376.419,0.859341,0.0,0.0,0.0,0.0,0.0,0.188233,0.0,0.0,0.0,0.28285,0.0,1.4982,0.0,0.0,0.0,0.0,0.845925,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1214326845535045
765376.477,0.858142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401126,0.0,2.18039,0.0,0.360082,0.0,0.0,1.0654,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1241045721481604
765376.505,0.468567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628537,0.0,1.52768,0.0,0.108833,0.0,0.0,1.18814,-2,-2,-2,-2,-2,0,0.04606702752513295,1.125394448921138
765376.533,0.393364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268188,0.0,0.832374,0.355799,0.0,0.0,0.0,1.33128,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1266843256941157
765376.677,0.725485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22165,0.0,0.0,0.0,0.409068,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1333179776564046
765376.705,0.5929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690335,0.0,0.0,0.0,0.329104,-2,-2,-2,-2,-2,0,0.04606702752513295,1.1346078544240195
