ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
840894.494,1.76369,0.0,1.48741,0.0,0.0,0.0,0.0,0.0,0.861706,0.0,0.0857398,0.0,1.2252,0.584298,0.0,0.0,0.0,0.231189,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0120389796244702
840894.521,1.86532,0.0,1.14656,0.0,0.0,0.0,0.0,0.853792,1.14815,0.0,0.0,0.0,1.59994,0.772493,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0130977823931178
840894.55,1.14899,0.0,1.04064,0.0,0.0,0.0,0.0,0.0646466,0.0,0.0,0.0,0.0,1.68781,0.641783,0.0187395,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0142350150002
840894.579,2.03616,0.0,1.60253,1.96785,0.0,0.0,0.0,0.544398,1.05516,0.0,0.0,0.0,2.04318,0.483442,0.10128,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0153722476027167
840894.636,2.22273,0.0,0.832183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27857,0.460348,0.211385,0.0,0.0,0.0958194,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0176074978930985
840894.664,1.66407,0.0,1.66199,0.0,0.0,0.0,0.0,0.955447,0.0,0.0,0.0,0.0,1.88212,0.354254,0.23631,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0187055155763982
840894.75,2.35151,0.0,0.0,0.0,0.0,0.0,0.0,0.843272,0.0,0.0,0.0,0.0,1.15147,0.538708,0.0,0.0,0.0,0.0609421,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0220779984692967
840894.779,1.13434,0.0,0.0,0.711593,0.0,0.0,0.0,0.652029,0.0,0.0,0.0,0.0,0.802163,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0232152310718137
840894.836,0.0,0.0,0.247981,1.60207,0.0,0.0,0.0,0.82639,0.0,0.0,0.0,0.0,0.849254,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0254504813621954
840894.864,1.49721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539545,0.166265,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.026548499045495
840894.893,1.86121,0.0,0.89938,0.0,0.986831,0.0,0.0,0.330645,1.01289,0.0,0.0,0.0,0.619637,0.0,0.0830608,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0276857316525772
840894.921,0.0,0.0,0.482525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549434,0.0,0.0410012,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.039214917354614666,1.0287837493358767
