ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
593116.0,1.03513,0.548005,0.124487,0.0,0.38661,0.827617,0.0,0.0,0.0,0.0,0.0,0.900578,0.669236,0.0,0.528759,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0082351326384429
593116.029,1.10194,0.769285,0.500614,0.0,0.0,0.342245,0.0,0.0,0.0,0.446907,0.0634787,1.04621,1.15321,0.557916,0.403306,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0116468304459936
593116.086,1.13123,0.296463,0.0,0.0,0.494226,0.0,0.0,0.0,0.0,0.0,0.246202,0.716126,0.503299,0.0,0.529216,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0183525813171388
593116.114,1.21828,0.216991,0.0,0.0,0.0,0.291829,0.0355315,0.0,0.0,0.671706,0.290628,0.0,0.367131,0.0,0.530193,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0216466343670376
593116.143,0.936365,0.0,0.0,0.0,0.462326,0.0,0.0,0.0,0.0,0.843157,0.0,0.0,1.00547,0.0,0.646629,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.025058332188284
593116.2,1.09201,0.228562,0.0,0.0,0.3621,0.0,0.0,0.0,0.0,0.0,0.0539272,0.0,1.16293,0.0,0.738909,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0317640830457335
593116.314,1.16525,0.305723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120725,0.688266,1.06534,0.523823,0.841729,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.045175584788024
593116.343,0.605118,0.10559,0.0,0.0,0.650096,0.0,0.0,0.0,0.0,0.933827,0.0,0.765978,1.40161,0.53869,0.577017,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0485872825955744
593116.4,0.0,0.0,0.0,0.0,0.674149,0.0,0.0183335,0.0,0.0,0.994892,0.0,0.0,0.265911,0.775145,0.800286,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0552930334667197
593116.429,0.0,0.0,0.0,2.4069,1.15036,0.0,0.0,0.0,0.0,0.282216,0.0,0.0,1.3661,0.647679,0.675544,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0587047312742703
593116.457,0.0,0.0,0.0,0.0,0.85436,0.0,0.0,0.0,0.0,1.17872,0.0,0.0,1.40057,0.495664,0.475204,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0619987843378649
593116.514,0.0,0.0,0.0,0.0,1.02829,0.0,0.252622,0.0,0.0,0.794787,0.0,0.0,0.863192,0.612246,0.5568,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0687045351953144
593116.628,1.03818,0.0239384,0.0,0.0,0.953244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68895,0.641692,0.80326,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0821160369376048
593116.686,0.0,0.21498,0.0,0.0,0.985697,0.0,0.553443,0.0,0.0,3.20098,0.144299,0.0,0.821267,1.6657,1.08937,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.088939432552706
593116.714,0.0,0.0,0.0,1.87283,0.804025,0.0,0.0,0.0,0.0,2.33536,0.060817,0.0,0.0,2.27064,0.557596,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0922334856163007
593116.743,0.0,0.0,0.0,0.0,0.707944,0.0,0.619627,0.0,0.0,2.98307,0.494151,0.0,0.0,1.41323,0.755471,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.0956451834238512
593116.8,0.0,0.0,0.0,0.0,0.0,0.0,0.173725,0.0,0.0,3.26437,0.619566,0.0,0.325162,1.32962,0.384553,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.1023509342949964
593116.829,0.0,0.0,0.0,1.33455,0.0,0.0,0.0539698,0.0,0.0,2.81026,0.950729,0.0,0.0,1.29059,0.289886,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.105762632102547
593116.943,1.34343,0.0952386,0.0,2.23127,0.0,0.0,0.0,0.0,0.0,1.97051,0.485922,0.0,1.8829,0.672155,0.92736,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.1191741338311418
593117.0,1.56827,0.502436,0.0,2.00494,0.0,0.0,0.0,0.0,0.0,2.57281,0.0,0.0,1.53215,0.752924,1.45819,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.125879884702287
593117.029,1.36693,0.561419,0.0,2.36093,0.87025,0.0,0.0,0.0,0.0,2.09466,0.091167,0.0,1.20949,0.833296,1.2365,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.1292915825098375
593117.057,1.04777,0.542232,0.0,2.15938,0.627294,0.0,0.0,0.0,0.0,2.57779,0.0,0.0,0.19532,1.04706,0.9363,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.117644752063844,1.1325856355734323
