ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
1285186.629,0.480582,0.0,0.0,0.0,0.0,1.08709,0.0,0.0,0.457916,1.56107,0.368671,0.0,2.7253,0.914415,0.595682,0.0,0.0,0.914012,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0037443381933358
1285186.658,0.0,0.0,0.0,0.107825,0.0,0.0,0.0,0.0,0.0,0.0,0.372636,0.0,1.87764,0.842534,0.741832,0.0,0.0,0.762743,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0054957221951575
1285186.715,0.0,0.0,0.0,0.223105,0.0,0.0,0.0,0.0,0.665947,0.0,0.425128,0.0,1.4436,0.766027,0.688429,0.0,0.0,0.819424,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0089380976373163
1285186.743,0.551571,0.0,0.0,0.167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98203,0.760929,0.722756,0.0,0.0,0.946266,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0106290890776537
1285186.772,0.124966,0.0,0.0,0.360958,0.0,0.0,0.0,0.0,0.0,1.40251,0.434688,0.0,2.3501,0.606951,0.547004,0.0,0.0,0.898741,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0123804730794754
1285186.801,0.403968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664854,0.0,0.340943,0.0,1.73355,1.08377,0.67267,0.0,0.0,0.787653,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0141318570672357
1285186.915,0.692536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66872,0.206868,0.0,1.86273,0.401162,0.621997,0.0,0.0,0.686279,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0210166079515537
1285186.943,0.331066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424677,1.16494,0.168858,0.0,1.67624,0.0,0.497212,0.0,0.0,0.436911,-2,-2,-2,-2,-2,0,0.06039255158524787,1.022707599391891
1285186.972,0.765896,0.0,0.0,0.0,0.019718,0.0,0.0,0.0,0.306583,0.868876,0.0,0.0,1.51398,0.0,0.142205,0.0,0.0,0.447553,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0244589833937128
1285187.001,1.15211,0.0,0.0,0.241943,0.0,0.0,0.0,0.0,0.0,0.62933,0.0,0.0,2.11478,0.321902,0.257217,0.0,0.0,0.409142,-2,-2,-2,-2,-2,0,0.06039255158524787,1.026210367381473
1285187.029,0.731088,0.0,0.0,0.568425,0.0,0.0,0.0,0.0,0.0,0.98828,0.0,0.0,1.48514,0.0,0.0812321,0.0,0.0,0.229014,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0279013588358716
1285187.058,0.806801,0.0,0.0,0.0,0.135271,0.0,0.0,0.0,0.0,0.911995,0.0,0.0,1.64413,0.419495,0.0,0.0,0.0,0.0373842,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0296527428236322
1285187.172,0.332135,0.136524,0.0,0.968122,0.243308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60327,0.961636,0.0968599,0.0,0.0,0.287225,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0365374937079501
1285187.202,0.889787,0.165795,0.0,0.887484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05921,0.71449,0.163536,0.0,0.0,0.00856743,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0383492702571948
1285187.229,0.605797,0.0,0.0,0.598687,0.390274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95765,0.931523,0.0193107,0.0,0.0,0.263882,-2,-2,-2,-2,-2,0,0.06039255158524787,1.039979869150109
1285187.258,0.798017,0.11702,0.0,1.53151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03979,0.690246,0.0780347,0.0,0.0,0.2136,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0417312531378695
1285187.315,0.672764,0.0,0.0,1.13953,0.366048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85591,0.817525,0.220651,0.0,0.0,0.313669,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0451736285800284
1285187.343,0.549588,0.141057,0.0,0.940596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41549,0.47323,0.0,0.0,0.0,0.220932,-2,-2,-2,-2,-2,0,0.06039255158524787,1.046864620034427
1285187.429,0.289201,0.0,0.0,0.520238,0.0,0.0,0.0,0.0,0.642628,0.0,0.267597,0.0,1.4341,1.05263,0.273511,0.0,0.0,0.333503,-2,-2,-2,-2,-2,0,0.06039255158524787,1.0520583794643463
1285187.458,0.424206,0.0,0.0,0.62095,0.0,0.0,0.0,0.0,0.618184,0.0,0.191651,0.0,1.38618,0.862168,0.579517,0.0,0.0,0.516589,-2,-2,-2,-2,-2,0,0.06039255158524787,1.053809763466168
