ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
762165.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402961,0.0,0.839364,0.0,0.0,0.0,0.0,0.613191,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0245810757082634
762165.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04712,0.0,0.0,0.335795,0.0,1.06047,0.0,0.0,0.0,0.0,0.696581,-2,-2,-2,-2,-2,0,0.1046003221690412,1.030543294075016
762165.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672273,0.0,0.0,0.404757,0.0,1.48262,0.0,0.0,0.0,0.0,0.354643,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0365055124295917
762165.648,0.0,0.0,0.0,0.0,0.0083683,0.0,0.0,0.877711,0.0,0.0,0.539372,0.0,1.0069,0.0,0.0,0.0,0.0,0.541446,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0395389217826252
762165.677,0.0,0.0,0.0,0.0,0.0,0.0,0.287985,1.24706,0.0,0.0,0.480717,0.664305,1.17662,0.0783617,0.0,0.0,0.0,0.298721,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0425723311234816
762165.705,0.0,0.0,0.0,0.0,0.489078,0.0,0.0,1.55366,0.0,0.0,0.141993,0.0,0.71735,0.0,0.0,0.0,0.0,0.239721,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0455011401372007
762165.762,0.505037,0.0,0.0,0.0,0.0,0.0,0.0,1.09934,0.0,0.0,0.676621,0.980717,0.432218,0.0,0.0,0.0,0.0,0.45275,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0514633585039534
762165.791,0.326385,0.0,0.0,0.0,0.0,0.0,0.0,1.47103,0.0,0.0,0.598308,1.1917,0.958727,0.0,0.0101814,0.0,0.0,0.661759,-2,-2,-2,-2,-2,0,0.1046003221690412,1.05449676784481
762165.847,0.852177,0.0,0.0,0.0,0.317703,0.870475,0.0,2.19305,0.0,0.0,0.0,0.0,1.52669,0.307171,0.0,0.0,0.0,0.627782,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0603543858844253
762165.877,0.4418,0.0,0.0,0.0,0.318908,1.3034,0.627948,2.15808,0.0,0.0,0.110827,0.0,1.14288,0.493126,0.0,0.0,0.0,0.477493,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0634923955524191
762165.905,0.267546,0.0,0.0,0.0,0.0,1.37534,0.0,2.2316,0.0,0.0,0.0496545,0.0,2.35053,0.131327,0.0301856,0.0,0.0,0.52926,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0664212045783152
762165.933,0.0941082,0.0,0.0,0.0,0.0,1.53282,0.115242,2.03341,0.0,0.0,0.0,0.0,2.29372,0.315743,0.101629,0.0,0.0,0.727843,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0693500135920344
762165.991,0.267368,0.0,0.0,0.0,0.0,1.96632,0.0,1.86908,0.0,0.0,0.282583,0.0,2.28685,0.0,0.21299,0.0,0.0,0.769838,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0754168322859246
762166.048,0.420064,0.0,0.0,0.0,0.364262,0.00506244,0.0,2.37884,0.0,0.0,0.840373,0.0,1.43081,0.0,0.0,0.0,0.0,0.0499566,-2,-2,-2,-2,-2,0,0.1046003221690412,1.0813790506405
