ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
769083.705,1.1243,0.0,0.819215,0.0,0.79821,1.4488,0.936061,0.0,0.0,2.04647,0.292055,0.0,0.637101,0.902068,0.718318,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0015293570003527
769083.733,2.22684,0.0,0.750898,0.0,0.889828,0.565764,0.0,0.0,0.205727,1.32889,0.140964,0.0,0.740107,0.491654,0.143509,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0033911829229125
769083.79,1.82613,0.0,0.135518,0.0,1.13042,0.0,0.0,0.0,0.646796,0.0,0.0508906,0.0,0.338022,0.781864,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0071813285462812
769083.848,1.55422,0.0,0.0,0.0,1.00686,0.0,0.0,0.0,1.0975,0.0,0.613098,0.455318,0.0,0.395972,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0110379679478987
769083.876,2.04237,0.494206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0128997938704587
769083.905,1.46244,0.212764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456465,0.0,0.0,0.0,0.73691,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0148281135712673
769084.019,2.05667,0.0,1.7,0.0,1.05064,0.0,0.0,0.0,0.0,1.21983,0.0,0.0,0.395968,1.53788,0.400887,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0224084048102637
769084.048,1.55636,0.169208,1.78234,0.0,0.999335,1.95434,0.0,0.0,0.31722,1.10665,0.336628,0.0,0.0,0.0,0.675368,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0243367245110724
769084.076,1.76923,0.0152702,0.0,0.0,1.2981,1.80173,0.0,0.0,0.125229,1.19013,0.210634,0.0,0.0,0.0,0.561713,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0261985504336324
769084.105,0.0,0.0,1.86342,0.0,1.19674,1.67937,0.0,0.0,0.0,1.32938,0.0931235,0.0,0.0,0.60583,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.028126870134441
769084.133,1.56722,0.0,0.977992,0.0,1.1543,1.89434,0.0,0.0,0.592701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.029988696057001
769084.162,1.68759,0.0,0.0,0.0,1.44504,1.2564,0.0,0.0,0.265139,0.0,0.0,0.0,0.0,0.530932,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0319170157578097
769084.276,0.0,0.0,0.300314,0.0,0.872407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647,0.825896,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.039497306996806
769084.305,2.47238,0.0,0.294121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07853,0.842549,0.114521,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0414256267053557
769084.333,2.35347,0.0,0.717047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404552,0.764654,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0432874526201747
769084.362,1.9992,0.0,1.46975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797476,0.342919,0.0,0.0,0.0,0.852895,-2,-2,-2,-2,-2,0,0.06649378283135057,1.0452157723209834
769084.419,1.98343,0.0,1.5489,0.0,0.0,0.311232,0.234142,0.0,0.0,0.0,0.0,0.0,1.29052,0.284552,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.06649378283135057,1.049005917944352
