ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
1274099.001,0.0,0.105985,0.0,0.0,0.0,0.869333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294809,0.0,0.0,0.410193,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0115146512579718
1274099.058,1.3169,0.527918,0.0,0.0,0.0,1.27843,0.0443859,0.0,0.0,0.0,0.0,0.0,1.08873,0.0,0.177878,0.0,0.0,0.28489,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0150433347100878
1274099.115,2.13295,0.461849,0.0,0.0,0.0,1.336,0.796768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388069,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0185720181622038
1274099.143,2.79071,0.381106,2.07476,0.941784,0.0,1.02666,0.834843,0.0,0.0,0.0,0.0,0.0,0.980321,0.0,0.309721,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0203054065195891
1274099.172,0.0,0.610592,0.0,0.473536,0.0,0.956799,0.60615,0.0,0.0,0.0,0.0,0.0,0.432666,0.0,0.251702,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0221007016143195
1274099.201,1.48301,0.402552,0.0,0.0,0.0,0.0,0.705694,0.0,0.0,0.0,0.0,0.0,1.12067,0.0,0.375555,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0238959966946364
1274099.343,0.0,0.0824571,0.0,0.0,0.0,1.87208,0.0,0.0,0.0,0.0,0.0,0.23458,0.363875,0.646887,0.182511,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0326867519706675
1274099.373,0.0,0.0254724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145555,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0345439537739154
1274099.403,1.74732,0.0,0.0,0.0,0.0,2.44939,0.382073,0.0,0.0,0.0,0.0,0.0,0.561286,0.219098,0.297337,0.0,0.0,0.0583474,-2,-2,-2,-2,-2,0,0.061906727197736405,1.036401155591577
1274099.435,1.99586,0.202054,0.0,0.0,0.0,0.0,0.885925,0.0,0.0,0.687175,0.0806662,0.0,0.0,0.0,0.49296,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0383821708695151
1274099.487,0.0,0.571865,0.0,0.459853,0.0,0.0,0.0,0.0,0.0,1.40835,0.797314,0.0,0.0,0.0,0.71278,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0416013206781474
1274099.516,0.0,0.662722,0.0,0.634703,0.0,0.0,0.0,1.47466,0.0,1.79213,0.802899,0.0,0.360075,0.0,1.23042,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0433966157728778
1274099.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171918,0.454599,0.0413201,0.0,0.0,0.184976,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0486586875823791
1274099.658,0.657136,0.0,2.4047,0.0,0.0,1.55074,0.446067,0.0,0.0,0.0,0.0,0.0,0.0,0.243263,0.39119,0.0,0.0,0.0346923,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0521873710344951
1274099.715,0.0,0.0,0.0,0.0,0.0,0.0,0.336275,0.0,0.0,0.0,0.291043,0.0,0.0,0.639914,0.0,0.0,0.0,0.0719986,-2,-2,-2,-2,-2,0,0.061906727197736405,1.055716054486611
1274099.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245572,0.0,0.0,0.0,0.0592811,0.0,0.0,0.0,0.452907,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0574494428439964
1274099.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744143,0.0772252,0.0,0.0,0.809761,0.0,0.0,0.0,0.289205,-2,-2,-2,-2,-2,0,0.061906727197736405,1.059244737938727
1274099.802,1.26651,0.130015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38541,0.0,0.0,0.0,0.251437,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.061101939741975
1274099.943,1.73607,0.124984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240326,-2,-2,-2,-2,-2,0,0.061906727197736405,1.069830788280661
1274099.972,1.39949,0.0992266,0.0,0.0,0.0,0.0,0.386379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0716260833753914
1274100.001,2.70918,0.808052,0.0,1.1263,0.0,0.0,0.0,0.0,0.0,0.0,0.38285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0734213784557083
1274100.058,0.0,0.0,0.0,1.83826,0.0,0.0,0.0,0.0,0.0,0.0,0.673696,0.0,0.0,0.0,0.715253,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.076950061907824
1274100.115,1.78358,0.0273212,0.0,1.79695,0.0,0.0,0.0,0.0,0.0,0.0,0.784751,0.0,0.0,0.0,1.0903,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.08047874535994
1274100.143,0.0,0.107222,0.0,1.38077,0.0,0.0,0.0,0.0,0.0,0.0,0.888972,0.0,0.0,0.0,0.947186,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0822121337173256
1274100.258,1.51754,0.87622,0.0,0.0,0.0,0.0,0.500252,0.363833,0.0,0.0,0.172322,0.0,0.0,0.0,0.464138,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0893314073444886
1274100.315,0.0,0.162813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00647636,0.0,0.0,0.0,0.42029,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0928600907966046
1274100.343,2.05607,0.558984,0.0,0.866463,0.0,0.0,0.0,0.0,0.0,0.0,0.175138,0.0,0.0,0.0,0.498976,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0945934791684038
1274100.372,1.75012,0.840499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530988,0.112713,0.0,0.0,0.0,0.521015,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.0963887742487206
1274100.401,2.33555,0.859472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327328,0.0,0.0,0.0,0.482358,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.098184069343451
1274100.458,2.10146,0.685562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.101712752795567
1274100.555,1.48042,0.575964,0.0,0.0,0.0,1.71738,0.0,0.0,0.0,0.0,0.0322873,0.296177,0.0,0.41127,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.1077177053234848
1274100.578,2.12665,1.03983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347548,0.0,0.299208,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.1091415600518002
1274100.602,2.35579,1.1725,0.0,0.0,0.0,1.64316,0.749164,0.0,0.0,0.0,0.0224836,0.714805,1.09828,0.0,0.552558,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.061906727197736405,1.1106273215030469
