ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
852197.846,1.89674,0.0615948,1.39381,0.0,0.682935,0.718292,0.0,0.0,0.0,0.0,0.0231938,0.0,0.0,0.0,0.0,0.0,0.0,0.708087,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0097254901969184
852197.903,1.78671,0.0,1.29733,0.0,0.594076,0.0,0.332087,0.0,0.0,0.0,0.0,0.0,0.664222,0.0,0.0,0.0,0.0,0.836797,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0119607843157343
852197.96,1.93939,0.0,1.6593,0.0,0.542731,0.0,0.0,0.0,0.0,0.0,0.0122153,0.0,0.580238,0.0,0.0,0.0,0.0,0.759768,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0141960784299846
852197.988,2.18208,0.0,1.41574,0.0,0.590248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12096,0.0,0.0,0.0,0.0,0.91178,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0152941176476067
852198.017,2.20277,0.0,1.35938,0.0,0.404257,0.0,0.376548,0.0,0.0,0.0,0.0725794,0.0,0.698997,0.0,0.0,0.0,0.0,0.803719,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0164313725488006
852198.046,2.01277,0.0,1.45897,0.0,0.350391,0.0,0.444418,0.0,0.0,0.0,0.0,0.0,1.12696,0.0,0.0,0.0,0.0,0.887669,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0175686274499942
852198.188,1.05206,0.0,0.82438,0.0,0.329978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33836,0.0,0.0,0.0,0.59409,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0231372549006825
852198.217,1.24189,0.0,1.41783,0.0,0.42831,0.0,0.339985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583443,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0242745098018764
852198.245,0.665971,0.0,0.0,0.0,0.167903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241124,0.0,0.0,0.0,0.483177,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0253725490194983
852198.303,0.792098,0.0,0.317288,0.0,0.0698988,0.0,0.0,0.0,0.0,0.0,0.25867,0.0,0.0,0.508149,0.0,0.0,0.0,0.525139,-2,-2,-2,-2,-2,0,0.0392156862745098,1.027647058821886
852198.362,1.57795,0.0356478,0.921643,0.0,0.256166,0.0,0.0,0.0,0.0,0.0,0.113235,0.0,0.0,0.283908,0.0,0.0,0.0,0.3575,-2,-2,-2,-2,-2,0,0.0392156862745098,1.0299607843124108
