ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
848916.299,0.0,0.0,0.0,0.0,1.01838,0.0,0.880949,0.0,0.647621,0.0,0.254675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0018360215583162
848916.327,0.0,0.0,0.0,0.0,1.24518,0.0,0.0,0.579943,0.633415,0.0,0.309295,0.0,0.0,0.0,0.323404,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0023888022435536
848916.356,0.0,0.0,0.0,0.0,1.09344,0.0,0.0,0.0,0.416562,0.0,0.0,0.0,0.0,0.0,0.524872,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0029613250947256
848916.413,0.0,0.0,0.0,0.0,1.15601,0.0,0.0,0.0,0.353961,0.0,0.488778,0.0,0.0,0.0,0.401789,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0040866286288368
848916.441,0.0,0.0,0.0,0.0,1.07472,0.0,0.0,0.0,0.358736,0.0,0.684573,0.0,0.0,0.0,0.902444,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0046394093140742
848916.499,0.0,0.0,0.0,0.0,1.1278,0.0,0.0,0.0,0.104612,0.0,2.59762,0.0,0.0,0.766306,0.459658,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.005784455016418
848916.613,0.0,0.0,0.0,0.184358,0.850191,0.0,1.30306,0.29803,0.473437,1.14969,0.576116,0.0,0.772687,0.258463,0.652182,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.008035062089237
848916.641,0.187934,0.0,0.0,0.0,0.0,0.126052,1.03473,0.0,0.0,1.2507,0.722206,0.0,0.0,0.0,0.0,0.0,0.0,0.551741,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0085878427721762
848916.699,0.421602,0.0,0.0,0.202226,0.0,0.0,1.12666,0.0,0.443815,1.83892,1.39614,0.0,0.0,0.0,0.0,0.0,0.0,0.584851,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0097328884768184
848916.727,0.215919,0.0,0.0,0.25891,0.605565,0.213474,1.17976,0.0,0.455015,1.18274,0.992219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0102856691597575
848916.756,0.0869318,0.0,0.0,0.911929,0.0,0.119083,0.700428,0.0,0.510074,1.07574,0.586939,0.0,0.0,0.245275,0.421099,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.01974216729510642,1.0108581920132278
