ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
582464.828,0.0,0.0,0.044465,0.0475286,0.936016,0.0,0.0,0.0,0.0,0.457624,0.127976,0.879102,0.0,0.488202,0.578282,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.004438196606474
582464.857,0.0,0.0,0.520219,0.0,1.12381,0.0,0.0,0.0,0.585333,0.660343,0.0,1.16708,0.0,1.05367,0.467603,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0050205843960194
582464.886,0.0,0.0,0.707723,0.0805574,1.03112,0.0,0.0824081,0.0,0.677377,1.41336,0.0,1.08182,0.0,0.485024,0.710318,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.005602972187903
582464.914,0.0,0.0,0.505977,0.0,1.22823,0.0,0.0,0.0,0.843937,1.29265,0.145895,1.31685,0.0,0.475659,0.67962,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0061652776389105
582464.971,0.0,0.0,0.0,0.0,1.18618,0.0,0.0,0.0,0.861504,1.35992,0.0763116,0.776691,0.0,0.395755,0.682982,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0073099708818014
582465.0,0.0,0.0,0.0,0.119502,1.02537,0.197296,0.0,0.0,0.87758,1.16114,0.200879,0.906402,0.0,0.0,0.631035,0.524759,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0078923586713469
582465.086,1.49384,0.0,1.80419,0.0,0.783717,0.694996,0.558781,0.0,0.15962,0.182908,0.170125,0.0,0.0,0.0,0.213885,0.0,0.0,0.641251,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0096194397037832
582465.114,0.0,0.0,1.4476,0.0,0.70289,0.0,0.720188,0.0,0.303749,0.45943,0.348089,0.869466,0.0,0.450869,0.0,0.0,0.0,0.677399,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0101817451547908
582465.171,0.0,0.0,0.528365,0.0,0.556453,0.0,0.497231,0.0,0.377893,1.20888,0.20701,1.56037,0.0,0.493127,0.0,0.0,0.0,0.547283,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0113264383976817
582465.2,0.0,0.0,0.591098,0.0,0.518869,0.0,0.294527,0.0,0.178065,0.465025,0.35733,1.5052,0.0,0.0,0.545014,0.0,0.0,0.73383,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0119088261872273
582465.228,0.0,0.0,1.1769,0.0,0.852858,0.111794,0.936549,0.0,0.0,0.207129,0.159325,0.0,1.50604,0.0,0.0,0.0,0.0,0.426372,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0124711316405728
582465.257,0.0,0.0,1.04912,0.0,0.286288,0.845759,0.280187,0.0,0.0,1.55295,0.335898,0.0,0.0,0.0,0.0,0.0,0.0,0.233579,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0130535194301182
582465.371,0.0,0.0,1.46133,0.0,0.983269,2.18827,0.418368,0.0,0.0,0.0,0.0,0.0,1.67868,0.0,0.610309,0.0,0.0,0.442305,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0153429059159
582465.4,0.0,0.0,1.46356,0.0,0.597339,2.76624,0.0,0.0,0.0,0.0,0.0,0.0,1.12448,0.0,0.471479,0.0,0.0,0.352642,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0159252937054455
582465.428,1.21477,0.0,1.03119,0.0,0.953135,1.47702,0.0,0.0,0.0,0.0,0.0,0.0,1.11594,0.121024,0.88595,0.0,0.0,0.414184,-2,-2,-2,-2,-2,0,0.020082337584077885,1.016487599156453
582465.457,1.63394,0.0,1.44362,0.0,0.623291,2.89453,0.0,0.0,0.0,0.0,0.0675313,0.0,1.32386,0.369754,0.722165,0.460386,0.0,0.579901,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0170699869483366
582465.485,1.49845,0.0,1.52026,0.0,0.786308,2.06328,0.0,0.0,0.0,0.0,0.0,0.0,1.04222,0.0,0.806841,0.359087,0.0,0.554402,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0176322923993442
582465.514,1.50248,0.0,2.05215,0.0,0.357398,1.57078,0.535981,0.0,0.0,0.0,0.0485675,0.0,0.0,0.0,0.55319,0.0,0.0,0.446177,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0182146801888896
582465.628,0.0,0.0,0.0,0.0,0.750508,0.201076,0.0,0.0,0.0,0.454444,0.252912,1.15501,0.0,0.621132,0.682382,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0205040666746714
582465.657,0.0,0.0,0.0,0.0,0.573765,0.0703313,0.07277,0.0,0.0,0.649613,0.213209,1.18734,0.0,0.631747,0.71935,0.0,0.0,0.173629,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0210864544642169
582465.685,0.456824,0.0,0.0,0.544503,0.0,0.0,0.0,0.0,0.0,0.417304,0.275835,0.793962,1.27292,0.151826,0.0,0.0,0.0,0.121503,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0216487599175623
582465.714,0.0,0.0,0.0,0.423171,0.0,0.0,0.0,0.0,0.0,0.0,0.626524,0.0,0.0,0.103084,0.0,0.0327243,0.0,0.178091,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0222311477071078
582465.771,0.743329,0.0,0.0,1.01644,0.0,0.0,0.0,0.0,0.0,0.0,0.474091,0.0,0.0,0.0,0.0,0.350502,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.023375840947661
582465.8,0.176499,0.0,0.0,0.728819,0.0,0.0,0.0,0.0,0.0,0.0,0.493154,0.0,0.977408,0.232988,0.0,0.270903,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0239582287395443
582465.885,0.0,0.0,1.60951,0.0,1.18351,2.24839,0.334347,0.0,0.0,0.572308,0.0742599,0.0,1.756,0.614913,0.307324,0.0,0.0,0.190761,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0256652274334428
582465.914,0.0,0.0,0.0,0.4299,0.785015,0.479986,0.0,0.0,0.0,0.963571,0.276064,1.16393,0.0,0.523212,0.534593,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0262476152229882
582465.971,0.0,0.0,1.33452,0.0,0.981251,1.03094,0.0925967,0.0,0.549734,1.13875,0.0260785,1.18633,0.0,0.500892,0.566925,0.148394,0.0,0.0,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0273923084658791
582466.0,0.54475,0.0,1.33832,0.0,0.696419,0.191917,0.696754,0.0,0.0,0.595115,0.246399,0.81266,0.0,0.555364,0.472425,0.0,0.0,0.260203,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0279746962554248
582466.029,1.09385,0.0,1.576,0.0,0.857989,0.314716,0.0,0.0,0.0,0.628231,0.0,0.0,1.38776,0.0,0.0,0.0,0.0,0.445146,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0285570840449703
582466.058,1.35077,0.0,0.796021,0.0,1.05821,0.185182,0.0,0.0,0.0,0.0224373,0.0,0.0,1.48193,0.0,0.808899,0.0,0.0,0.531591,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0291394718345157
582466.171,0.77352,0.0,1.68957,0.0,1.1787,2.46598,0.749989,0.0,0.0,0.0,0.0,0.0,1.80707,0.30385,0.698406,0.0,0.0,0.345866,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0314087759817596
582466.2,0.0,0.0,1.04174,0.0,0.882926,1.32757,0.0,0.0,0.0,0.316178,0.0,0.0,2.14702,0.438865,0.634145,0.0,0.0,0.312356,-2,-2,-2,-2,-2,0,0.020082337584077885,1.031991163771305
582466.229,0.81664,0.0,0.923764,0.0,1.0009,0.110183,0.581554,0.0,0.0,0.714879,0.0671873,0.0,1.62014,0.120641,0.783454,0.0,0.0,0.25079,-2,-2,-2,-2,-2,0,0.020082337584077885,1.0325735515631886
